accession_id,name,LAP_SD_WW,LAP_SD_LW
6961,Se-0,1.709836001,1.192028624
6970,Ts-1,1.170220238,0.939460541
7081,Co,0.846080526,0.653700479
8357,Pla-0,1.38748309,0.762956627
9518,IP-Alm-0,1.106755424,1.336418683
9522,IP-Bea-0,1.411464682,1.114017616
9524,IP-Ber-0,1.360667084,1.488035771
9526,IP-Cab-3,0.970274411,0.481000263
9528,IP-Cal-0,1.398075423,1.030201263
9531,IP-Cdc-3,0.752940573,1.241783737
9533,IP-Cem-0,0.981725855,NA
9539,IP-Deh-1,0.952738734,NA
9543,IP-Gra-0,0.751781549,1.019293235
9547,IP-Hor-0,1.368297534,0.923598161
9550,IP-Iso-4,0.547807612,NA
9557,IP-Moa-0,0.893215425,1.345172099
9560,IP-Mot-0,1.311954145,0.799414879
9567,IP-Pal-0,1.11986021,1.14507298
9568,IP-Pan-0,0.702410802,0.587073029
9584,IP-Stp-0,1.123640398,1.278975463
9586,IP-Tam-0,0.477732659,0.613588221
9587,IP-Tdc-0,0.469192251,0.886897235
9588,IP-Tol-7,1.015028083,1.330024106
9593,IP-Vaz-0,0.745817915,0.707635298
9598,IP-Vim-0,1.116868118,1.075101274
9601,IP-Voz-0,1.179169798,1.333953232
9819,IP-Amu-0,0.636484499,NA
9822,IP-Aul-0,1.182180385,0.753398298
9825,IP-Boa-0,1.143547261,1.332374492
9832,IP-Cat-0,0.985477067,1.26162405
9844,IP-Esn-2,0.771455903,1.076569583
9845,IP-Evs-0,1.295715471,NA
9846,IP-Ezc-2,0.896431512,1.034033592
9855,IP-Lam-0,1.247929135,NA
9857,IP-Leg-0,0.952163331,1.398861519
9869,IP-Moj-0,0.983309034,NA
9871,IP-Nac-0,0.439775838,NA
9874,IP-Oja-0,1.094890688,0.692326431
9880,IP-Pib-1,0.907746387,1.079825223
9887,IP-Pun-0,0.712181132,0.922529308
9905,IP-Ven-0,0.942450776,0.697399393
9944,Don-0,1.309936127,NA
